,Unnamed: 0,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Discipline,Cleaned Author Keywords,AUTHOR KEYWORDS,AUTHORS
237,237,2-s2.0-85072466524,10.4271/2009-01-2530,,,Proposed standards and tools for risk analysis and allocation of robotic systems to enhance crew safety during planetary surface exploration,cp,Conference Paper,Mulugeta L.,60031828;60025209;60002442,McMaster University;Northrop Grumman corporation;Universities Space Research Association,Hamilton;Los Angeles;Columbia,Canada;United States;United States,6.0,"Mulugeta, Lealem;Bodkin, David;Chasseigne, Romain;Demel, Michael;Jagula, Dexter;Turnock, Matthew",25628525800;15831298600;35781636600;57193978369;35782024400;23977163900,60002442;60025209;60031828;60031828;60031828;60031828,2009-01-01,2009,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"Several space agencies have announced plans to return humans to the Moon in the near future. The objectives of these missions include using the Moon as a stepping-stone towards crewed missions to Mars, to test advanced technology, and to further exploration of the Moon for scientific research and in-situ resource utilization. To meet these objectives, it will be necessary to establish and operate a lunar base. As a result, a wide variety of tasks that may pose a number of crew health and safety risks will need to be performed on the surface of the Moon. Therefore, to ensure sustainable human presence on the Moon and beyond, it is essential to anticipate potential risks, assess the impact of each risk, and devise mitigation strategies. To address this, a nine-week intensive investigation was performed by an international, interdisciplinary and intercultural team on how to maximize crew safety on the lunar surface through a symbiotic relationship between astronauts and robots. To identify if and how robotic systems may be employed to enhance safety, it was necessary to establish a standardized risk assessment criteria. Risk assessment criteria used by space agencies and health and safety institutions from around the world were combined and integrated to meet this requirement. In addition, a decision tree was developed to rapidly identify robotic platforms that will enhance crew safety during tasks that require astronaut participation. Using these tools it was possible to appropriately identify the impact of each risk on crew safety in terms of the probability of occurrence (likelihood) and consequence (severity), and generate a list of robotic platforms to improve crew safety. Furthermore, the risk assessment criteria and robotic decision tree are extensible to lunar and Mars exploration missions regardless of mission architecture. Copyright ©2009 SAE International.",,0,0,,,,undefined,,SBE,,,"Mulugeta, Lealem;Bodkin, David;Chasseigne, Romain;Demel, Michael;Jagula, Dexter;Turnock, Matthew"
238,238,2-s2.0-85072464272,10.4271/2009-01-2341,,,Investigations into water recovery from solid wastes using a microwave solid waste stabilization and water recovery system,cp,Conference Paper,Wignarajah K.,60004179;113591528,NASA Ames Research Center;Foothill-De Anza College,Moffett Field;,United States;United States,5.0,"Wignarajah, Kanapathipillai;Alba, Ric;Fisher, John W.;Hogan, John A.;Fox, Tom",6603381174;36136675800;7404017045;7202270695;36918094400,60004179;60004179;60004179;60004179;113591528,2009-01-01,2009,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"A microwave powered solid waste stabilization and water recovery prototype was delivered to Ames Research Center through an SBIR Phase II contract awarded to Umpqua Research Company. The system uses a container capable of holding 5.7 dm3 volume of waste. The microwave power can be varied to operate either at full power (130 W) or in a variable mode from 0% and 100%. Experiments were conducted with different types of wastes (wet cloth, simulated feces/diarrheal wastes, wet trash and brine) at different levels of moisture content and dried under varying microwave power supply. This paper presents the experimental data. The results provide valuable insight into the different operation modes under which the prototype can be used to recover water from the wastes in a space environment. Further investigations and testing of the prototype are recommended. Equivalent System Mass (ESM) analysis and performance parameters of the prototype in its current configuration are reported and recommendations for improvements are also made. © This is a work of the U.S. Government.",,1,0,,,,undefined,,SBE,,,"Wignarajah, Kanapathipillai;Alba, Ric;Fisher, John W.;Hogan, John A.;Fox, Tom"
239,239,2-s2.0-85072460146,10.4271/2009-01-2564,,,An optimum biological reactor configuration for water recycling in space,cp,Conference Paper,Jackson W.,60021285,Texas Tech University,Lubbock,United States,4.0,"Jackson, W. Andrew;Morse, Audra;Landes, Nick;Low, Darryl",7401888610;7102718502;36918611000;23094988000,60021285;60021285;60021285;60021285,2009-01-01,2009,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"Biological pre-treatment of early planetary/lunar base wastewater has been extensively studied because of its predicted ability to offer equivalent system mass (ESM) savings for long term space habitation. Numerous biological systems and reactor types have been developed and tested for treatment of the generally unique waste streams associated with space exploration. In general, all systems have been designed to reduce organic carbon (OC) and convert organic nitrogen (ON) to nitrate and/or nitrite (NOx-). Some systems have also included removal of the oxidized N in order to reduce overall oxygen consumption and produce additional N2 gas for cabin use. Removal of organic carbon will generally reduce biofouling as well as reduce energy and consumable cost for physiochemical processors. The focus of this paper is to compare the performance achieved by several biological systems as well as their volumetric loading capacities in order to assess the overall efficacy of biological pre-treatment and aid in the selection of optimal bioreactor systems. Copyright © 2009 SAE International.",,1,0,,,,undefined,,SBE,,,"Jackson, W. Andrew;Morse, Audra;Landes, Nick;Low, Darryl"
240,240,2-s2.0-85072456398,10.4271/2009-01-2515,,,Laundry study for a lunar outpost,cp,Conference Paper,Ewert M.,123196943;112677389,Barrios Technology/ESCG;NASA's Johnson Space Center,;,;United States,2.0,"Ewert, Michael K.;Jeng, Frank F.",7003741946;55680248700,112677389;123196943,2009-01-01,2009,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"In support of the Constellation Program, NASA conducted an analysis of crew clothing and laundry options. Disposable clothing is currently used in human space missions. However, the new mission duration, goals, launch penalties and habitat environments may lead to a different conclusion. Mass and volume for disposable clothing are major penalties in long-duration human missions. Equivalent System Mass (ESM) of crew clothing and hygiene towels was estimated at about 11% of total life support system ESM for a 4-crew, 10-year Lunar Outpost mission. Ways to lessen this penalty include: reduce clothing supply mass through using clothes made of advanced fabrics, reduce daily usage rate by extending wear duration and employing a laundry with reusable clothing. Lunar habitat atmosphere pressure and therefore oxygen volume percentage will be different from Space Station or Shuttle. Thus flammability of clothing must be revisited. This paper summarizes recent research efforts in advanced clothing, proposed clothing supply rates, results of a trade-off study between disposable clothing and laundry, and suggestions for Constellation Program clothing. Copyright © 2009 SAE International.",,0,0,,,,undefined,,SBE,,,"Ewert, Michael K.;Jeng, Frank F."
241,241,2-s2.0-85072456122,10.4271/2009-01-2534,,,High-pressure oxygen generation for outpost EVA study,cp,Conference Paper,Jeng F.,60025450;123196943;112677389,Hamilton Sundstrand;Barrios Technology/ESCG;NASA's Johnson Space Center,Windsor Locks;;,United States;;United States,4.0,"Jeng, Frank F.;Conger, Bruce;Ewert, Michael K.;Anderson, Molly S.",55680248700;55688290700;7003741946;23088395300,123196943;60025450;112677389;112677389,2009-01-01,2009,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"The amount of oxygen consumption for crew extravehicular activity (EVA) in future lunar exploration missions will be significant. Eight technologies to provide high pressure EVA O2 were investigated. They are: high pressure O2 storage, liquid oxygen (LOX) storage followed by vaporization, scavenging LOX from Lander followed by vaporization, LOX delivery followed by sorption compression, water electrolysis followed by compression, stand-alone high pressure water electrolyzer, Environmental Control and Life Support System (ECLSS) and Power Elements sharing a high pressure water electrolyzer, and ECLSS and In-Situ Resource Utilization (ISRU) Elements sharing a high pressure electrolyzer. A trade analysis was conducted comparing launch mass and equivalent system mass (ESM) of the eight technologies in open and closed ECLSS architectures. Technologies considered appropriate for the two architectures were selected and suggested for development. Copyright © 2009 SAE International.",,0,0,,,,undefined,,SBE,,,"Jeng, Frank F.;Conger, Bruce;Ewert, Michael K.;Anderson, Molly S."
242,242,2-s2.0-56149096299,10.1016/j.asr.2008.09.020,S0273117708005176,,Use of sunlight for plant lighting in a bioregenerative life support system - Equivalent system mass calculations,ar,Article,Drysdale A.,60031204;60020204;60010526,NASA Kennedy Space Center;Physical Sciences Inc.;Dynamac Corporation,Merritt Island;Andover;Rockville,United States;United States;United States,5.0,"Drysdale, Alan;Nakamura, Takashi;Yorio, Neil;Sager, John;Wheeler, Ray",7003931434;57204897183;6602698745;7006093988;7202148052,;60020204;60010526;60031204;60031204,2008-12-15,15 December 2008,Advances in Space Research,02731177,12375.0,,Journal,42,12,,1929-1943,"Plant lighting is a critical issue for cost effectiveness of bioregenerative systems. A plant lighting system using sunlight has been investigated and compared to systems using electrical lighting. Co-generation of electricity and use of in situ resource utilization (ISRU) were also considered. The fixed part of equivalent system mass was found to be reduced by factors of from 3.1 to 3.9, according to the mission assumptions. The time-dependent part of equivalent system mass was reduced by a smaller value, of about 1.05. Cost effectiveness of bioregeneration has been compared to the cost of shipping food. Break-even times for different Lunar and Mars missions were generally in the order of 2-10 years, and were quite sensitive to the assumptions. There is significant scope for future refinement of these values, and work is ongoing. © 2008 COSPAR.",Bioregenerative systems | Plant lighting systems | Space life sciences,16,0,,,SBIR,NNK06OM15C,Small Business Innovation Research,SBE,"['Bioregenerative systems ', ' Plant lighting systems ', ' Space life sciences']",Bioregenerative systems | Plant lighting systems | Space life sciences,"Drysdale, Alan;Nakamura, Takashi;Yorio, Neil;Sager, John;Wheeler, Ray"
243,243,2-s2.0-78049507796,,,,Use of a lunar outpost for developing space settlement technologies,cp,Conference Paper,Purves L.R.,60006337,NASA Goddard Space Flight Center,Greenbelt,United States,1.0,"Purves, Lloyd R.",36943991300,60006337,2008-12-01,2008,Space 2008 Conference,,19700182207.0,,Conference Proceeding,,,2008-7680,,"While space settlement/colonization appears technically achievable in the 1 to 5 AU region containing the Moon, Mars, and small bodies, its cost has so far seemed too high to seriously consider initiating any related efforts. However, the NASA Vision for Space Exploration (VSE) may have the necessary scope to support the eventual development of a test-bed for the technologies required for space settlement in this region. The polar lunar outpost being considered in the VSE can provide a starting point for developing a lunar surface habitat with a 1-G level of gravity, an Earth-surface level of radiation and a Closed Ecological Life Support System (CELSS). Biosphere II provides an initial estimate of what is required for an eight-person habitat with a CELSS. The VSE outpost includes Lunar In-Situ Resource Utilization (ISRU), which has the potential of being enlarged to provide most of the material needed for the habitat, including the structure of a centrifuge to supply artificial gravity, the shielding for radiation protection and the atmosphere, water and soil for a CELSS. The full development of this lunar habitat will also require the long-term development of an Earth-Moon logistics system that goes beyond the scale currently envisioned in the VSE. In the nearer term, such a lunar habitat and its ISRU/logistics infrastructure can significantly enhance the Moon's utility by extending the time that humans can remain on the Moon and reducing the need for supplies from Earth. In the longer term, the technologies associated with the habitat and its infrastructure can provide the basis for a feasible approach to space settlement.",,0,0,,,,undefined,,SBE,,,"Purves, Lloyd R."
244,244,2-s2.0-77950491901,,,,Robotic and astronaut tasks related to crew safety for exploration of a lunar pole,cp,Conference Paper,Hochstein J.,60024642,ISU International Space University,Illkirch-Graffenstaden,France,12.0,"Hochstein, Jason;Bodkin, David;Chan, Aung;Chasseigne, Romain;Demel, Michael;Doule, Ondrej;Jagula, Dexter;Mulugeta, Lealem;Oprong, Angeline;Quemet, Laure;Turnock, Juan Matthew;Salazar, Pablo",26642644000;15831298600;7403167896;35781636600;57193978369;35847511700;35782024400;25628525800;25638772700;35782308500;35782567400;35847985100,60024642;60024642;60024642;60024642;60024642;60024642;60024642;60024642;60024642;60024642;60024642;60024642,2008-12-01,2008,"International Astronautical Federation - 59th International Astronautical Congress 2008, IAC 2008",,19700169403.0,,Conference Proceeding,4,,,2059-2072,"Several of the world's major space agencies have announced plans to return humans to the Moon within the next two to three decades. Primary objectives for these missions include using the Moon as a stepping-stone towards crewed missions to Mars, testing advanced technology, and furthering exploration of the Moon for scientific research and in-situ resource utilization. Meeting these objectives will require a sustained human presence on the lunar surface and the performance of a wide variety of tasks to establish and operate a lunar base. In doing so, ensuring the integrity of the crew's health and safely will be paramount. A nine-week intensive analysis of lunar exploratory robotic tasks for safely (ALERTS) was performed by an international and interdisciplinary team. During this study, the ALERTS team investigated the maximization of crew safely on the lunar surface through the use of a symbiotic relationship between astronauts and robots. By focusing on lunar surface operations necessary for all lunar bases, irrespective of architecture, a list of 66 general tasks were generated and consolidated under ten categories. These tasks were then used as the foundation to identify different risks astronauts will be exposed to. A novel set of risk assessment criteria was developed based on a compromise between risk assessment criteria used by space agencies and health and safely institutions from around the world. Using these criteria, the impact of each risk on crew safely was quantified in terms of the probability of occurrence (likelihood), and consequence (severity). A decision tree was then constructed to rapidly identify the most appropriate robotic platform for tasks that require astronaut involvement, but can be assisted using a robotic system. Finally, the establishment of an International Space Exploration Safely Board (ISESB) is suggested to harmonize safely standards related to human spaceflight at the international level; particularly with regards to the application of robotics for human space exploration.",,0,0,,,,undefined,,SBE,,,"Hochstein, Jason;Bodkin, David;Chan, Aung;Chasseigne, Romain;Demel, Michael;Doule, Ondrej;Jagula, Dexter;Mulugeta, Lealem;Oprong, Angeline;Quemet, Laure;Turnock, Juan Matthew;Salazar, Pablo"
245,245,2-s2.0-77950490085,,,,The potential impacts of NASA's cots initiative on developing the microgravity market in LEO,cp,Conference Paper,Stone D.,60016296;60006711,National Aeronautics and Space Administration;NASA Johnson Space Center,"Washington, D.C.;Houston",United States;United States,2.0,"Stone, Dennis;Pellis, Neal",35265115800;7007051632,60016296;60006711,2008-12-01,2008,"International Astronautical Federation - 59th International Astronautical Congress 2008, IAC 2008",,19700169403.0,,Conference Proceeding,2,,,742-750,"To stimulate the commercial development of space, the National Aeronautics and Space Administration (NASA) is facilitating the establishment of Commercial Orbital Transportation Services (COTS) to Low Earth Orbit (LEO) which can support the International Space Station (ISS) and other LEO destinations. COTS in conjunction with ISS will provide the services necessary for a variety of microgravity applications in the next decade. There is a wide range of promising microgravity applications particularly in biotechnology. This paper provides an overview of these applications, describes the transportation and destination services expected to be available to serve these applications, and discusses an approach to develop the market.",,0,0,,,,undefined,,SBE,,,"Stone, Dennis;Pellis, Neal"
246,246,2-s2.0-39749142110,10.1089/ast.2007.0134,,18237257.0,Microbial rock inhabitants survive hypervelocity impacts on mars-like host planets: First phase of lithopanspermia experimentally tested,ar,Article,Horneck G.,60072343;60025310;60023066;60012944;60012113;60007798;60001046;60000762,"Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH;Heinrich-Heine-Universität Düsseldorf;Institute for Dynamics of Geospheres, Russian Academy of Sciences;Planetary Science Institute;The Open University;Deutsches Zentrum für Luft- und Raumfahrt (DLR);Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut EMI;Humboldt-Universität zu Berlin",Braunschweig;Dusseldorf;Moscow;Tucson;Milton Keynes; Cologne;Freiburg im Breisgau;Berlin,Germany;Germany;Russian Federation;United States;United Kingdom;Germany;Germany;Germany,11.0,"Horneck, Gerda;Stöffler, Dieter;Ott, Sieglinde;Hornemann, Ulrich;Cockell, Charles S.;Moeller, Ralf;Meyer, Cornelia;De Vera, Jean Pierre;Fritz, Jörg;Schade, Sara;Artemieva, Natalia A.",7006620491;7004315940;7102819215;7003380301;7004940683;15822310800;36244050500;6602676030;56548170000;51562442900;55900271000,60007798;60000762;60025310;60001046;60012113;60007798-60072343;60007798-60000762;60025310;60000762;60000762;60023066-60012944,2008-02-01,1 February 2008,Astrobiology,15311074,13090.0,,Journal,8,1,,17-44,"The scenario of lithopanspermia describes the viable transport of microorganisms via meteorites. To test the first step of lithopanspermia, i.e., the impact ejection from a planet, systematic shock recovery experiments within a pressure range observed in martian meteorites (550 GPa) were performed with dry layers of microorganisms (spores of Bacillus subtilis, cells of the endolithic cyanobacterium Chroococcidiopsis, and thalli and ascocarps of the lichen Xanthoria elegans) sandwiched between gabbro discs (martian analogue rock). Actual shock pressures were determined by refractive index measurements and Raman spectroscopy, and shock temperature profiles were calculated. Pressure-effect curves were constructed for survival of B. subtilis spores and Chroococcidiopsis cells from the number of colony-forming units, and for vitality of the photobiont and mycobiont of Xanthoria elegans from confocal laser scanning microscopy after live/dead staining (FUN-I). A vital launch window for the transport of rock-colonizing microorganisms from a Mars-like planet was inferred, which encompasses shock pressures in the range of 5 to about 40 GPa for the bacterial endospores and the lichens, and a more limited shock pressure range for the cyanobacterium (from 510 GPa). The results support concepts of viable impact ejections from Mars-like planets and the possibility of reseeding early Earth after asteroid cataclysms. © Mary Ann Liebert, Inc.",Ejecta | Impact | Interplanetary transfer of life | Lithopanspermia | Microbial survival | Shock pressure,118,0,,,STFC,ST/F003102/1,Science and Technology Facilities Council,SBE,"['Ejecta ', ' Impact ', ' Interplanetary transfer of life ', ' Lithopanspermia ', ' Microbial survival ', ' Shock pressure']",Ejecta | Impact | Interplanetary transfer of life | Lithopanspermia | Microbial survival | Shock pressure,"Horneck, Gerda;Stöffler, Dieter;Ott, Sieglinde;Hornemann, Ulrich;Cockell, Charles S.;Moeller, Ralf;Meyer, Cornelia;De Vera, Jean Pierre;Fritz, Jörg;Schade, Sara;Artemieva, Natalia A."
247,247,2-s2.0-38349091750,10.1016/j.jchromb.2007.07.048,S1570023207005417,17766201.0,The place of adsorption and biochromatography in extracorporeal liver support systems,re,Review,Legallais C.,60017848,Université de Technologie de Compiègne,Compiegne,France,5.0,"Legallais, C.;Gautier, A.;Dufresne, M.;Carpentier, B.;Baudoin, R.",7003434908;33367986900;8072489200;23468360200;13008769300,60017848;60017848;60017848;60017848;60017848,2008-01-15,15 January 2008,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,15700232,24172.0,,Journal,861,2,,171-176,"Artificial and bioartificial liver devices aim at replacing some or all liver functions in the cases of end stage or fulminant disorders. Among all of its function, liver plays a key role in detoxification of substances that are hydrosoluble or bound to albumin. In this paper, the authors first reviewed the requirements for temporary liver support, then the adsorption-based systems that can be found on the market and finally propose new applications of biochromatography using perfusion-based bioartificial systems. © 2007 Elsevier B.V. All rights reserved.",Adsorption columns | Bioreactor | Encapsulation | Fluidized bed | Liver,7,0,,,,undefined,,SBE,"['Adsorption columns ', ' Bioreactor ', ' Encapsulation ', ' Fluidized bed ', ' Liver']",Adsorption columns | Bioreactor | Encapsulation | Fluidized bed | Liver,"Legallais, C.;Gautier, A.;Dufresne, M.;Carpentier, B.;Baudoin, R."
248,248,2-s2.0-85072472994,10.4271/2008-01-2016,,,The analysis of a modified membrane-aerated biofilm reactor for space flight applications,cp,Conference Paper,Landes N.,60021285,Texas Tech University,Lubbock,United States,3.0,"Landes, Nicholas;Andrew Jackson, W.;Morse, Audra",36918611000;7401888610;7102718502,60021285;60021285;60021285,2008-01-01,2008,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"A modified membrane-aerated biofilm reactor (mMABR) was constructed by incorporating two distinct biofilm immobilization media: gas-permeable hollow fiber membranes and high surface area inert bio-media. In order to evaluate the mMABR for space flight applications, a synthetic ersatz early planetary base (EPB) waste stream was supplied as influent to the reactor, and a liquid loading study was conducted at three influent flow rates. On average, percent carbon removal ranged from 90.7% to 93.1% with volumetric conversion rates ranging from 25 ± 3.3 g/m3 d and 95 ± 13.4 g/m3 d. Simultaneous nitrification/denitrification (SND) was achieved in a single reactor. As the liquid loading rate increased from 0.15 mL/min to 0.45 mL/min, the volumetric denitrification rates elevated from 27 ± 3.3 g/m 3 d to 65 ± 5.2 g/m3 d. Additionally, it was found that nitrification and denitrification were linearly related with respect to both percent efficiency and volumetric reaction rates. The mMABR provides an equivalent systems mass (ESM) cost comparative alternative to previously studied two-stage biological systems. Copyright © 2008 SAE International.",,0,0,,,,undefined,,SBE,,,"Landes, Nicholas;Andrew Jackson, W.;Morse, Audra"
249,249,2-s2.0-85072461555,10.4271/2008-01-2051,,,Evaluation of the microwave enhanced freeze drying technology for processing solid wastes,cp,Conference Paper,Wignarajah K.,60004179;123196634;123196437,"NASA Ames Research Center;Foothill College;Enterprise Advisory Services, Inc",Moffett Field;;,United States;;,5.0,"Wignarajah, Kanapathipillai;Hogan, John A.;Fisher, John W.;Delzeit, Lance;Fox, Thomas G.",6603381174;7202270695;7404017045;6603625777;36918094400,123196437;60004179;60004179;60004179;123196634,2008-01-01,2008,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"A Microwave Enhanced Freeze Drying Solid Waste (MEFDSW) processor was delivered to NASA-Ames Research Center by Umpqua Company having been funded through a Small Business Innovative Research Phase II program. The prototype hardware was tested for its performance characteristics and for its functionality with the primary focus being the removal of water from solid wastes. Water removal from wastes enables safe storage of wastes, prevents microbes from growing and propagating using the waste as a substrate and has potential for recovery and reuse of the water. Other objectives included measurements of the power usage and a preliminary estimate of the Equivalent System Mass (ESM) value. These values will be used for comparison with other candidate water removal technologies currently in development. Copyright © 2008 SAE International.",,2,0,,,,undefined,,SBE,,,"Wignarajah, Kanapathipillai;Hogan, John A.;Fisher, John W.;Delzeit, Lance;Fox, Thomas G."
250,250,2-s2.0-85072448099,10.4271/2008-01-2145,,,Advanced development of the direct osmotic concentration system,cp,Conference Paper,Flynn M.,60014965;60004179;60001769;123199636;123196437,"Colorado School of Mines;NASA Ames Research Center;University of Nevada, Reno;National Space Grant Foundation;Enterprise Advisory Services, Inc",Golden;Moffett Field;Reno;;,United States;United States;United States;;,10.0,"Flynn, Michael;Fusco, Jesse;Kliss, Mark;Gormly, Sherwin;Richardson, Tra My Justine;Hannon, Ami;Howard, Kevin;Cath, Tzahi Y.;Dean Adams, V.;Childress, Amy E.",8629664600;57188854300;6602702497;8629664400;36918997100;55690876200;55690262100;8629664900;15734799000;7005141513,60004179;60004179;60004179;123199636;123199636;123199636;123196437;60014965;60001769;60001769,2008-01-01,2008,SAE Technical Papers,01487191,21100239259.0,26883627,Journal,,,,,"Direct osmotic concentration (DOC) is an integrated membrane treatment process designed for the reclamation of spacecraft wastewater. The system includes forward osmosis (FO), membrane evaporation, reverse osmosis (RO) and an aqueous phase catalytic oxidation (APCO) post-treatment unit. This document describes progress in the third year of a four year project to advance hardware maturity of this technology to a level appropriate for human rated testing. The current status of construction and testing of the final deliverable is covered and preliminary calculations of equivalent system mass are funished. Copyright © 2008 SAE International.",,0,0,,,,undefined,,SBE,,,"Flynn, Michael;Fusco, Jesse;Kliss, Mark;Gormly, Sherwin;Richardson, Tra My Justine;Hannon, Ami;Howard, Kevin;Cath, Tzahi Y.;Dean Adams, V.;Childress, Amy E."
251,251,2-s2.0-46149122296,10.1039/b804265a,,18584073.0,Monolithic photolithographically patterned Fluorocur™ PFPE membrane valves and pumps for in situ planetary exploration,ar,Article,Willis P.A.,60009037;112730558,Jet Propulsion Laboratory;Liquidia Technologies Inc.,Pasadena;Research Triangle Park,United States;United States,8.0,"Willis, Peter A.;Greer, Frank;Lee, Michael C.;Smith, J. Anthony;White, Victor E.;Grunthaner, Frank J.;Sprague, Jacob J.;Rolland, Jason P.",7102962686;10046642800;55716898600;7410165421;7102989212;7003780380;24438499900;7103051948,60009037;60009037;60009037;60009037;60009037;60009037;112730558;112730558,2008-01-01,2008,Lab on a Chip,14730197,24738.0,14730189,Journal,8,7,,1024-1026,Photolithographically defined monolithic membrane valves utilizing Fluorocur™ perfluoropolyether (PFPE) were fabricated and characterized to be essentially unaltered after one million actuations and exposure to the environmental stresses associated with in situ exploration of Mars. © The Royal Society of Chemistry.,,23,0,,,,undefined,,SBE,,,"Willis, Peter A.;Greer, Frank;Lee, Michael C.;Smith, J. Anthony;White, Victor E.;Grunthaner, Frank J.;Sprague, Jacob J.;Rolland, Jason P."
252,252,2-s2.0-45849138581,,,18548941.0,Early achievements of the Danish pharmaceutical industry--1 Novo Nordisk,ar,Article,Kruse E.,60095456,Pharmakon as,Hillerod,Denmark,1.0,"Kruse, Edith",24401446400,60095456,2008-01-01,2008,Theriaca,00824003,22314.0,,Journal,,37,,9-26,"The article series provides an account in words and pictures of the Danish pharmaceutical industry's products from the earliest times until about 1950. Part 1 deals with products from Nordisk Insulinlaboratorium, founded in 1923, and Novo Terapeutisk Laboratorium, founded in 1925. The two companies were competitors for many years and became two of the world's leading insulin producers. In 1989 they joined forces, merging to become Novo Nordisk A/S, today one of the world's leading biotech companies. The article chronicles the earliest decades of development and progress in insulin production, illustrated with photos of several types of consumer packaging. In 1923 Nordisk Insulinlaboratorium marketed Insulin ""Leo"" tablets, from which patients had to make their own sterile solution for injection two to three times a day, because the solution was unstable. Ready-to-use solutions gradually came on the market, and formulations with prolonged duration, so-called protamin-insulins, were developed in the 1930s. Insulin ""Leo"" Retard was marketed in 1936, and its basic properties were maintained and further developed in step with research breakthroughs well into the 1980s. Novo Terapeutisk Laboratorium's first insulin was Insulin Novo in 1925, and at the same time one of the company founders developed Novo-sprøjten (the Novo Syringe) for individual dosage from a special ampoule. The syringe was further developed over the years and was the prototype for the NovoPen launched in 1985 as well as for later advanced dosage systems. Starting in 1938 Novo Terapeutisk Laboratorium marketed Zink-Protamin-Insulin Novo and products based on other insulin derivatives in the 1940s. The era concludes with Insulin Novo Lente from 1952 as well as suspensions of amorphous and crystalline zinc-insulin. Ever since, insulin treatments for diabetes have been the focus of intensive development throughout the global marketplace and continue to be so.",,0,0,,,,undefined,,SBE,,,"Kruse, Edith"
253,253,2-s2.0-38749091661,10.1016/j.asr.2007.09.040,S0273117707009933,,Space agriculture for habitation on Mars with hyper-thermophilic aerobic composting bacteria,ar,Article,Kanazawa S.,60270122;60107489;60014256;60011047;60000809;105472950;100815867,Osaka Metropolitan University;Obayashi Corporation;University of Tsukuba;Kyushu University;JAXA Institute of Space and Astronautical Science;Space Agriculture Task Force;Institute of Environmental Microbiology,Osaka;Tokyo;Tsukuba;Fukuoka;Sagamihara;Sagamihara;Machida,Japan;Japan;Japan;Japan;Japan;Japan;Japan,9.0,"Kanazawa, S.;Ishikawa, Y.;Tomita-Yokotani, K.;Hashimoto, H.;Kitaya, Y.;Yamashita, M.;Nagatomo, M.;Oshima, T.;Wada, H.",7103299114;7403118567;6602129133;35117817600;6701581394;7403598331;57519556700;7401663257;57197420261,60011047;60107489;60014256;60014256;60270122;60000809;60000809;100815867;105472950,2008-01-01,2008,Advances in Space Research,02731177,12375.0,,Journal,41,5,,696-700,"Manned Mars exploration, especially for extended periods of time, will require recycle of materials to support human life. Here, a conceptual design is developed for a Martian agricultural system driven by biologically regenerative functions. One of the core biotechnologies function is the use of hyper-thermophilic aerobic composting bacterial ecology. These thermophilic bacteria can play an important role in increasing the effectiveness of the processing of human metabolic waste and inedible biomass and of converting them to fertilizer for the cultivation of plants. This microbial technology has been already well established for the purpose of processing sewage and waste materials for small local communities in Japan. One of the characteristics of the technology is that the metabolic heat release that occurs during bacterial fermentation raises the processing temperature sufficiently high at 80-100 °C to support hyper-thermophilic bacteria. Such a hyper-thermophilic system is found to have great capability of decomposing wastes including even their normally recalcitrant components, in a reasonably short period of time and of providing a better quality of fertilizer as an end-product. High quality compost has been shown to be a key element in creating a healthy regenerative food production system. In ground-based studies, the soil microbial ecology after the addition of high quality compost was shown to improve plant growth and promote a healthy symbiosis of arbuscular mycorrhizal fungi. Another advantage of such high processing temperature is the ability to sterilize the pathogenic organisms through the fermentation process and thus to secure the hygienic safety of the system. Plant cultivation is one of the other major systems. It should fully utilize solar energy received on the Martian surface for supplying energy for photosynthesis. Subsurface water and atmospheric carbon dioxide mined on Mars should be also used in the plant cultivation system. Oxygen and food production for human thus rely on local Martian resources. A tree growing subsystem will also give an interesting feature to Martian agriculture. In addition to producing excess oxygen, trees' rigid body will provide structural material, which can be used for habitat construction. The combination of hyper-thermophilic aerobic composting, plant cultivation, and tree growing with utilizing in-situ natural local resources available on Mars can provide important elements which can enable space agriculture on Mars. © 2007 COSPAR.",Bacterial ecology | Habitation | Hyper-thermophilic aerobic composting | Mars | Space agriculture,31,0,,,,undefined,,SBE,"['Bacterial ecology ', ' Habitation ', ' Hyper-thermophilic aerobic composting ', ' Mars ', ' Space agriculture']",Bacterial ecology | Habitation | Hyper-thermophilic aerobic composting | Mars | Space agriculture,"Kanazawa, S.;Ishikawa, Y.;Tomita-Yokotani, K.;Hashimoto, H.;Kitaya, Y.;Yamashita, M.;Nagatomo, M.;Oshima, T.;Wada, H."
